Code du département;Libellé du département;Libellé de la section électorale;Code de la commune;Libellé de la commune;Code du b.vote;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N°Liste;Nuance Liste;Libellé Abrégé Liste;Libellé Etendu Liste;Nom Tête de Liste;Voix;% Voix/Ins;% Voix/Exp;Code Officiel EPCI;Nom Officiel EPCI;Code Officiel Région;Nom Officiel Région;Localisation
41;Loir-et-Cher;Loir-et-Cher;41177;Le Plessis-Dorin;1;162;80;49,38;82;50,62;1;0.62;1.22;2;1.23;2.44;79;48.77;96.34;4;LUG;PLUS FORT, ENSEMBLE !;Plus Fort, Ensemble ! Avec François Bonneau;BONNEAU François;11;6.79;13.92;244100293;CC des Collines du Perche;24;Centre-Val de Loire;48.089156,0.86434
41;Loir-et-Cher;Loir-et-Cher;41181;Pouillé;1;605;356;58,84;249;41,16;7;1.16;2.81;7;1.16;2.81;235;38.84;94.38;1;LUGE;NOUVEAU SOUFFLE;Nouveau Souffle Ecologiste et Solidaire;FOURNIER Charles;34;5.62;14.47;200072064;CC Val-de-Cher-Controis;24;Centre-Val de Loire;
41;Loir-et-Cher;Loir-et-Cher;41182;Pray;1;225;127;56,44;98;43,56;1;0.44;1.02;1;0.44;1.02;96;42.67;97.96;6;LUCD;UNION DE LA DROITE, DU CE;Union de la Droite, du Centre et des Indépendants;FORISSIER Nicolas;8;3.56;8.33;200072072;CA Territoires Vendômois;24;Centre-Val de Loire;47.67744,1.115854
41;Loir-et-Cher;Loir-et-Cher;41186;Rahart;1;248;141;56,85;107;43,15;0;0.0;0.0;4;1.61;3.74;103;41.53;96.26;7;LEXG;LUTTE OUVRIÈRE;Lutte Ouvrière - Faire entendre le camp des travailleurs;MEGDOUD Farida;5;2.02;4.85;200072072;CA Territoires Vendômois;24;Centre-Val de Loire;47.870941,1.067579
41;Loir-et-Cher;Loir-et-Cher;41187;Renay;1;147;81;55,1;66;44,9;1;0.68;1.52;0;0.0;0.0;65;44.22;98.48;2;LUC;ENSEMBLE, LE MEILLEUR EST;Ensemble, le meilleur est avenir;FESNEAU Marc;16;10.88;24.62;200040772;CC du Perche et Haut Vendômois;24;Centre-Val de Loire;47.843633,1.164985
41;Loir-et-Cher;Loir-et-Cher;41188;Rhodon;1;93;51;54,84;42;45,16;1;1.08;2.38;0;0.0;0.0;41;44.09;97.62;3;LRN;RASSEMBLEMENT NATIONAL;Pour une région qui vous protège avec le Rassemblement National et alliés;NIKOLIC Aleksandar;17;18.28;41.46;200055481;CC Beauce Val de Loire;24;Centre-Val de Loire;47.752217,1.266918
41;Loir-et-Cher;Loir-et-Cher;41189;Rilly-sur-Loire;1;306;195;63,73;111;36,27;5;1.63;4.5;2;0.65;1.8;104;33.99;93.69;6;LUCD;UNION DE LA DROITE, DU CE;Union de la Droite, du Centre et des Indépendants;FORISSIER Nicolas;9;2.94;8.65;200030385;CA de Blois Agglopolys;24;Centre-Val de Loire;47.465908,1.13179
41;Loir-et-Cher;Loir-et-Cher;41190;Rocé;1;145;85;58,62;60;41,38;3;2.07;5.0;0;0.0;0.0;57;39.31;95.0;7;LEXG;LUTTE OUVRIÈRE;Lutte Ouvrière - Faire entendre le camp des travailleurs;MEGDOUD Farida;1;0.69;1.75;200072072;CA Territoires Vendômois;24;Centre-Val de Loire;
41;Loir-et-Cher;Loir-et-Cher;41194;Romorantin-Lanthenay;103;1230;864;70,24;366;29,76;7;0.57;1.91;8;0.65;2.19;351;28.54;95.9;1;LUGE;NOUVEAU SOUFFLE;Nouveau Souffle Ecologiste et Solidaire;FOURNIER Charles;37;3.01;10.54;200018406;CC du Romorantinais et du Monestois;24;Centre-Val de Loire;47.36808,1.734679
41;Loir-et-Cher;Loir-et-Cher;41194;Romorantin-Lanthenay;104;1466;1000;68,21;466;31,79;16;1.09;3.43;6;0.41;1.29;444;30.29;95.28;4;LUG;PLUS FORT, ENSEMBLE !;Plus Fort, Ensemble ! Avec François Bonneau;BONNEAU François;115;7.84;25.9;200018406;CC du Romorantinais et du Monestois;24;Centre-Val de Loire;47.359661,1.756966
